id,isbn,title,all_authors,author_gender,publisher,publication_date,format,category,all_narrators,narrator_gender,hb_year,hb_pos,pb_year,pb_pos,str_year,str_pos
orig_083,S9789177611882,Svart stjärna - S3,"Jesper Ersgård, Joakim Ersgård",M,Storytel Original,2017-07-18,original,OTHER,Stefan Sauk,M,,,,,,
orig_085,S9789176135266,Tick Tack - S1,Leffe Grimwalker,M,Storytel Original,2016-08-16,original,CRIME,Oscar Skagerberg,M,,,,,,
orig_086,S9789177358176,Tick Tack - S2,Leffe Grimwalker,M,Storytel Original,2017-03-28,original,CRIME,Oscar Skagerberg,M,,,,,,
orig_087,S9789177919681,Tick Tack - S3,Leffe Grimwalker,M,Storytel Original,2018-07-17,original,CRIME,Oscar Skagerberg,M,,,,,,
orig_088,9789179259464,Tio platser du måste besöka efter min död,Karin Wallén,F,Storytel Original,2017-08-15,original,OTHER,Klara Zimmergren,F,,,,,,
orig_089,S9789179076405,Utpost,Dmitry Glukhovsky,M,Storytel Original,2019-09-25,original,OTHER,Kristofer Kamiyasu,M,,,,,,
orig_091,S9789176135945,Vargland - S1,Björn Olofsson,M,Storytel Original,2016-06-21,original,CRIME,Lennart Jähkel,M,,,,,,
orig_092,S9789177613343,Vargland - S2,Björn Olofsson,M,Storytel Original,2017-08-08,original,CRIME,Lennart Jähkel,M,,,,,,
orig_093,S9789177351108,Vespers vidunderliga äventyr,Ida Kjellin,F,Storytel Original,2016-11-15,original,OTHER,Louise Ryme,F,,,,,,
orig_094,S9789179076009,Victoria Bonde - Jakten,Leffe Grimwalker,M,Storytel Original,2020-08-12,original,CRIME,Gunilla Leining,F,,,,,,
orig_095,9789179910716,Virus:1,Daniel Åberg,M,Storytel Original,2016-07-12,original,OTHER,Disa Östrand,F,,,,,,
orig_096,9789179910730,Virus:2,Daniel Åberg,M,Storytel Original,2017-01-24,original,OTHER,Disa Östrand,F,,,,,,
orig_097,9789179910754,Virus:3,Daniel Åberg,M,Storytel Original,2017-06-28,original,OTHER,Disa Östrand,F,,,,,,
orig_098,9789179910778,Virus:4,Daniel Åberg,M,Storytel Original,2018-04-03,original,OTHER,Disa Östrand,F,,,,,,
orig_099,9789179910792,Virus:5,Daniel Åberg,M,Storytel Original,2018-10-23,original,OTHER,Philomène Grandin,F,,,,,,
orig_100,9789179910815,Virus:6,Daniel Åberg,M,Storytel Original,2019-05-05,original,OTHER,Philomène Grandin,F,,,,,,
orig_101,9789179076801,Virus:7,Daniel Åberg,M,Storytel Original,2020-05-05,original,OTHER,Philomène Grandin,F,,,,,,
orig_102,S9789177358435,Westins bageri & kafé - S1,Solja Krapu-Kallio,F,Storytel Original,2016-12-01,original,OTHER,Anna Maria Käll,F,,,,,,
orig_103,S9789177614821,Westins bageri & kafé - S2,Solja Krapu-Kallio,F,Storytel Original,2017-10-03,original,OTHER,Maria Salah,F,,,,,,
orig_104,S9789178075997,Westins bageri & kafé - S3,Solja Krapu-Kallio,F,Storytel Original,2018-04-17,original,OTHER,Maria Salah,F,,,,,,
orig_105,S9789178606764,Westins bageri & kafé - S4,Solja Krapu-Kallio,F,Storytel Original,2019-01-29,original,OTHER,Maria Salah,F,,,,,,
SvB_BS_001,9789173480062,Da Vinci-koden,Dan Brown,M,Bonnier Audio,2009-10-05,bestseller,CRIME,Jan Waldecranz,M,2004,1,na,na,na,na
SvB_BS_002,9789164230089,Tjuvarnas marknad,Jan Guillou,M,Piratförlaget,2004-09-01,bestseller,CRIME,Tomas Bolme,M,2004,2,na,na,na,na
SvB_BS_004,9789185430239,Skuggorna och regnet,Håkan Nesser,M,Norstedts,2006-05-01,bestseller,CRIME,Torsten Wahlund,M,2004,4,na,na,na,na
SvB_BS_005,9789173480246,I skuggan av ett brott,Helena Henschen,F,Bonnier Audio,2008-11-13,bestseller,OTHER,Irene Lindh,F,2004,5,na,na,na,na
SvB_BS_006,9789173135597,Boken om Blanche och Marie,Per Olov Enquist,M,Norstedts,2008-07-01,bestseller,PRESTIGE,Anita Björk,F,2004,7,na,na,na,na
SvB_BS_007,9789173484749,Gregorius,Bengt Ohlsson,M,Bonnier Audio,2010-05-28,bestseller,PRESTIGE,Johan Rabaeus,M,2004,8,na,na,na,na
